Transaction_ID,Date,Region,Drug_Name,Hospital_Name,Units_Ordered,Price_Per_Unit,Total_Revenue
TXN102070,2025-06-01,South,GlycaCure 50mg,Fortis Healthcare 3,14,120,1680
TXN106852,2025-06-01,East,OncoShield 10mg,Fortis Healthcare 5,39,450,17550
TXN106030,2025-06-01,North,GlycaCure 50mg,Fortis Healthcare 4,15,250,3750
TXN106023,2025-06-01,South,OncoShield 10mg,Apollo Medical Center 4,86,450,38700
TXN100648,2025-06-01,West,GlycaCure 50mg,Max Super Speciality 2,99,120,11880
TXN100677,2025-06-01,East,OncoShield 10mg,Max Super Speciality 4,148,450,66600
TXN108082,2025-06-01,South,GlycaCure 50mg,Apollo Medical Center 1,105,250,26250
TXN109633,2025-06-01,West,OncoShield 10mg,Apollo Medical Center 5,108,450,48600
TXN102010,2025-06-01,East,GlycaCure 50mg,Fortis Healthcare 3,111,120,13320
TXN104191,2025-06-01,West,OncoShield 10mg,Fortis Healthcare 3,104,450,46800
TXN100755,2025-06-01,North,GlycaCure 50mg,Max Super Speciality 1,70,120,8400
TXN101028,2025-06-01,Central,OncoShield 10mg,Fortis Healthcare 4,31,450,13950
TXN109684,2025-06-01,East,GlycaCure 50mg,Apollo Medical Center 3,91,120,10920
TXN107393,2025-06-01,West,GlycaCure 50mg,Max Super Speciality 1,34,250,8500
TXN100991,2025-06-01,West,GlycaCure 50mg,Fortis Healthcare 3,96,120,11520
TXN100848,2025-06-01,West,GlycaCure 50mg,Max Super Speciality 3,16,120,1920
TXN105184,2025-06-01,South,GlycaCure 50mg,Fortis Healthcare 2,11,250,2750
TXN107653,2025-06-01,East,OncoShield 10mg,Max Super Speciality 1,141,450,63450
TXN103071,2025-06-01,North,GlycaCure 50mg,Fortis Healthcare 4,67,250,16750
TXN101987,2025-06-01,North,OncoShield 10mg,Fortis Healthcare 3,31,450,13950
TXN108503,2025-06-01,West,OncoShield 10mg,Apollo Medical Center 2,27,450,12150
TXN101164,2025-06-01,East,OncoShield 10mg,Max Super Speciality 2,66,450,29700
TXN103580,2025-06-01,South,GlycaCure 50mg,Fortis Healthcare 4,32,250,8000
TXN106552,2025-06-01,West,GlycaCure 50mg,Fortis Healthcare 3,14,120,1680
TXN106666,2025-06-01,East,GlycaCure 50mg,Max Super Speciality 5,11,250,2750
TXN103275,2025-06-01,Central,OncoShield 10mg,Fortis Healthcare 3,122,450,54900
TXN106183,2025-06-01,North,GlycaCure 50mg,Max Super Speciality 1,125,120,15000
TXN106355,2025-06-01,Central,GlycaCure 50mg,Fortis Healthcare 1,66,250,16500
TXN100446,2025-06-01,East,GlycaCure 50mg,Max Super Speciality 4,68,250,17000
TXN106604,2025-06-01,South,GlycaCure 50mg,Max Super Speciality 1,41,250,10250
TXN108019,2025-06-02,Central,OncoShield 10mg,Apollo Medical Center 3,25,450,11250
TXN108131,2025-06-02,West,OncoShield 10mg,Apollo Medical Center 1,71,450,31950
TXN100206,2025-06-02,South,OncoShield 10mg,Apollo Medical Center 5,17,450,7650
TXN108074,2025-06-02,West,GlycaCure 50mg,Max Super Speciality 4,103,250,25750
TXN107133,2025-06-02,Central,GlycaCure 50mg,Fortis Healthcare 1,17,250,4250
TXN104758,2025-06-02,East,OncoShield 10mg,Apollo Medical Center 3,32,450,14400
TXN103330,2025-06-02,North,OncoShield 10mg,Fortis Healthcare 4,140,450,63000
TXN100063,2025-06-02,North,GlycaCure 50mg,Apollo Medical Center 4,145,250,36250
TXN101948,2025-06-02,North,OncoShield 10mg,Apollo Medical Center 2,84,450,37800
TXN103152,2025-06-02,South,OncoShield 10mg,Apollo Medical Center 2,82,450,36900
TXN107834,2025-06-02,North,OncoShield 10mg,Max Super Speciality 2,48,450,21600
TXN109432,2025-06-02,North,OncoShield 10mg,Apollo Medical Center 4,99,450,44550
TXN105154,2025-06-02,North,GlycaCure 50mg,Max Super Speciality 2,34,120,4080
TXN100263,2025-06-02,North,OncoShield 10mg,Max Super Speciality 2,63,450,28350
TXN109293,2025-06-02,Central,GlycaCure 50mg,Apollo Medical Center 4,25,120,3000
TXN108139,2025-06-02,West,OncoShield 10mg,Fortis Healthcare 1,114,450,51300
TXN101289,2025-06-02,North,OncoShield 10mg,Max Super Speciality 5,144,450,64800
TXN101823,2025-06-02,South,GlycaCure 50mg,Apollo Medical Center 5,125,250,31250
TXN105356,2025-06-02,East,OncoShield 10mg,Apollo Medical Center 4,18,450,8100
TXN107013,2025-06-02,Central,OncoShield 10mg,Max Super Speciality 3,44,450,19800
TXN104249,2025-06-02,East,GlycaCure 50mg,Fortis Healthcare 5,73,120,8760
TXN104323,2025-06-02,Central,GlycaCure 50mg,Max Super Speciality 3,19,120,2280
TXN106793,2025-06-02,East,GlycaCure 50mg,Fortis Healthcare 4,41,250,10250
TXN102173,2025-06-02,North,GlycaCure 50mg,Apollo Medical Center 1,86,120,10320
TXN102910,2025-06-02,South,OncoShield 10mg,Apollo Medical Center 2,45,450,20250
TXN108484,2025-06-02,Central,OncoShield 10mg,Max Super Speciality 4,100,450,45000
TXN106569,2025-06-03,West,OncoShield 10mg,Fortis Healthcare 2,93,450,41850
TXN105524,2025-06-03,West,GlycaCure 50mg,Max Super Speciality 2,125,250,31250
TXN101864,2025-06-03,North,GlycaCure 50mg,Max Super Speciality 5,82,250,20500
TXN107687,2025-06-03,South,GlycaCure 50mg,Fortis Healthcare 2,11,250,2750
TXN101518,2025-06-03,North,OncoShield 10mg,Fortis Healthcare 1,110,450,49500
TXN102677,2025-06-03,South,OncoShield 10mg,Fortis Healthcare 3,96,450,43200
TXN109795,2025-06-03,North,OncoShield 10mg,Apollo Medical Center 5,69,450,31050
